"","lhs","op","rhs","est.std","se","z","pvalue","ci.lower","ci.upper"
"1","Bray","~","Rainfall",0.590164150402478,0.0530410001228247,11.1265652803654,0,0.486205700457757,0.694122600347199
"2","Bray","~","pH",0.202820418716929,0.0335096000884367,6.05260636300213,1.42520839574445e-09,0.137142809407253,0.268498028026605
"3","Bray","~","Distance",-0.118587691476797,0.0752409444151907,-1.57610583437673,0.115001414689708,-0.266057232693351,0.0288818497397565
"4","Bray","~","Temperature",0.258158487170882,0.0515627677658972,5.00668405433471,5.53757098842311e-07,0.15709731940652,0.359219654935243
"5","pH","~","Rainfall",0.991619388856263,0.0202882051258196,48.8766444693664,0,0.951855237498695,1.03138354021383
"6","pH","~","Distance",-0.201448926301343,0.0264304817773151,-7.62184087292132,2.50910403565285e-14,-0.253251718678923,-0.149646133923763
"7","Rainfall","~","Distance",1.54395815773242,0.0145139313283623,106.377667277184,0,1.51551137505474,1.5724049404101
"8","Rainfall","~","Temperature",-0.879054798873963,0.0224374473826403,-39.1780216297724,0,-0.923031387648951,-0.835078210098976
"9","Multifuncitonality","~","Bray",-0.0644733329181737,0.0353146729143366,-1.8256811573639,0.0678983030637195,-0.133688819956086,0.00474215411973822
"10","Multifuncitonality","~","Rainfall",0.361837701333966,0.0571324611516115,6.33331199182481,2.3995361253526e-10,0.249860135128674,0.473815267539259
"11","Multifuncitonality","~","Temperature",-0.81394362092177,0.0587146763333221,-13.862694504199,0,-0.929022271899008,-0.698864969944533
"12","Multifuncitonality","~","Distance",0.872177031956393,0.0862576563345645,10.1112999010025,0,0.703115132149813,1.04123893176297
"13","Bray","~~","Bray",0.355475002619795,0.0154326842398999,23.0339062922538,0,0.325227497324812,0.385722507914778
"14","pH","~~","pH",0.290618560300447,0.0133207670401878,21.8169538903932,0,0.264510336655231,0.316726783945664
"15","Rainfall","~~","Rainfall",0.180214910477374,0.00762471155928937,23.6356364533966,0,0.165270750428661,0.195159070526088
"16","Multifuncitonality","~~","Multifuncitonality",0.495747806700593,0.0187474895631454,26.4434235330983,0,0.459003402356288,0.532492211044899
"17","Distance","~~","Distance",1,0,NA,NA,1,1
"18","Distance","~~","Temperature",0.860859865130231,0,NA,NA,0.860859865130231,0.860859865130231
"19","Temperature","~~","Temperature",1,0,NA,NA,1,1
